"","recipe_id","category","serving_size_quantity","preparation_time","baking_time","difficulty","type","cooking_skills","age_of_creator","co2emissions","nr_adopters","mean_rating","nr_comments","age_in_weeks"
"6974","8et2mym5-rsfgg-660981-c05et-287qchby","Baking - sweet",36,14,NA,"medium","fish","amateurchef",25,371.32,1,3,4,1373
"6975","8et4p526-cy7o3-934886-siy2j-7s3outrf","Pasta & rice dishes",29,NA,73,"easy","meat","amateurchef",69,315.52,2,2,4,711
"6976","8etc6zrm-uxw7l-874981-7n8go-itghuqul","Baby food",33,96,NA,"advanced","meat","beginner",89,173.94,3,1,4,1053
"6977","8etywykk-f960z-130353-o14hz-gkiew9v3","Sauces, dips & spreads",23,108,63,NA,NA,"amateurchef",-17,486.13,3,3,8,1291
"6978","8ew9pkox-9tp0g-506155-o9xfh-n4bd3pnm","Main dishes - fish",NA,137,121,NA,"vegetarian",NA,20,335.94,1,1,8,280
"6979","8ewc5po1-iojd7-559239-eya8e-mhftt20i",NA,NA,11,13,"easy","meat","advanced",65,419.12,3,3.33333333333333,9,1711
"6980","8ewwb8x0-drddg-062259-wzh9s-m25b85vv","Baby food",26,73,139,"medium","fish","chefcook",7,1240.64,3,1.33333333333333,4,140
"6981","8exmf0fn-0r9ak-143632-sv1fj-1svryh9c","Main dishes - fish",43,32,NA,"medium","meat","amateurchef",6,254.5,3,2.66666666666667,5,2320
"6982","8eyke9vg-1xc4j-808267-dadev-c52ylqm2","Baking - sweet",23,13,129,"easy","fish","chefcook",31,247.29,NA,NA,7,936
"6983","8f0l6xkl-bdprz-947627-btexh-7c5afg7x","Baby food",NA,124,124,NA,"fish","advanced",17,525.03,3,2.66666666666667,5,2149
"6984","8f319vhw-ul9zd-796669-up3dl-w9uzm2qb","Main dishes - vegetarian",35,15,47,"medium","vegan","chefcook",45,NA,2,4.5,7,502
"6985","8f5aydw9-y3moi-599570-u8hk8-yakh5s2e","Main dishes - vegetarian",22,36,NA,"medium","vegan","amateurchef",33,237.24,1,5,4,1530
"6986","8f5lbd5l-bnrp6-092770-lahjh-xv5qxv8c","Pasta & rice dishes",35,21,NA,"advanced","vegan","chefcook",41,483.63,NA,NA,2,2504
"6987","8f7ncjjj-hkbyz-785695-51d0u-ceikfjne","Starters",NA,38,124,"advanced","vegetarian","chefcook",50,475.77,2,2,6,337
"6988","8f8f50h3-sbun6-581350-ou6br-oxqsjqzo","Starters",9,67,105,NA,"fish",NA,32,NA,2,3,5,1062
"6989","8f8ygduk-i556s-233898-nyl8z-y4rn0v5d","Main dishes - meat",3,63,NA,"easy",NA,"beginner",54,391.37,1,5,11,1484
"6990","8fbzu4z2-m2gt1-664098-dij8c-byk6ptta","Breads & rolls",24,88,13,"easy","vegan",NA,24,234.14,NA,NA,5,1347
"6991","8fco9ajg-56n95-411050-3cqj5-ifjvlk1f","Desserts & sweets",15,130,86,"easy","vegetarian","chefcook",50,81.44,1,4,5,2468
"6992","8fcy0wyb-ourh3-184645-49ut7-jgzs5vaf",NA,20,NA,95,"easy","vegetarian",NA,15,NA,NA,NA,5,1666
"6993","8fd09nus-2llx3-996575-wrg4q-t5aqgge7","Soups",50,100,126,NA,"meat","advanced",47,152.65,1,2,2,1350
"6994","8fe77da4-zqu4j-459931-dk31y-s6xh7xo0","Main dishes - fish",7,103,83,"medium","vegetarian","advanced",58,1178.16,1,2,4,1288
"6995","8fe82suc-5ibc9-184504-rjrp5-if78dtvd","Pasta & rice dishes",7,24,48,"medium","vegan",NA,24,168.55,5,3.6,8,579
"6996","8ff8m236-q467q-769421-vrfou-p7tp8mpu","Soups",22,129,26,"medium","fish",NA,20,300.16,1,5,6,2540
"6997","8fhfsoor-077no-724104-69ik0-55su1k7d","Main dishes - fish",35,NA,116,"advanced","vegetarian","amateurchef",79,665.09,2,5,4,2129
"6998","8fif5mqd-nwjpy-805110-qa4qs-xyeti066","Main dishes - fish",11,27,131,"medium","vegan",NA,69,NA,NA,NA,6,1323
"6999","8fizihdt-jkokg-418687-f8jtv-rd8xip08","Main dishes - others",43,116,NA,"easy","vegan","chefcook",20,585.52,NA,NA,7,1665
"7000","8fjsvc3z-14mf5-804612-cgzed-9bgamxoa","Baking - sweet",26,127,65,"medium","vegetarian",NA,-7,NA,2,3,8,1109
"7001","8fltus5a-053i5-669888-ccomv-myo8c6ra","Side dishes",NA,78,86,"advanced","vegetarian",NA,60,278.04,1,1,5,1390
"7002","8fnbyl1s-35ipl-182730-0t858-y2qv8ycn","Main dishes - fish",6,82,52,"advanced","vegan",NA,-18,NA,4,3.5,4,1267
"7003","8fnen7zz-7jeuk-268322-s7zkr-dt4g2pv7","Baking - savoury",NA,7,125,NA,"vegetarian","amateurchef",29,816.11,3,3,5,143
"7004","8fnzdsyv-6i5wg-118167-w85ni-ciw655ri","Pasta & rice dishes",NA,26,78,NA,"vegan",NA,90,NA,1,5,1,1036
"7005","8foordu6-mmkm7-464129-91w27-kf1aq771","Main dishes - meat",29,11,50,"easy","meat","chefcook",59,498.11,3,3.33333333333333,3,978
"7006","8frmh5rm-wlgmv-966718-xtat5-dlkav04i","Main dishes - meat",47,103,37,"easy",NA,"chefcook",63,989.03,3,4,3,2378
"7007","8frugm6r-edasw-259721-tgqb8-pey2pgmi","Pasta & rice dishes",12,137,48,"advanced","fish",NA,47,289.68,NA,NA,6,1963
"7008","8fsx9s0b-som8y-115832-farnp-iphkyzgh","Breads & rolls",50,146,116,"easy","vegan","amateurchef",65,696.13,4,4.25,5,191
"7009","8fsxz3w4-gtsum-899583-2ht65-0a4m8yea","Sauces, dips & spreads",34,113,119,"advanced","vegan","amateurchef",27,554.94,1,2,6,496
"7010","8ftqux0m-z7z68-147953-avpwy-cflfv288","Side dishes",19,80,30,"advanced",NA,"amateurchef",36,948.81,1,1,8,1737
"7011","8fvz8olb-y7q01-850438-1iia4-1qtk8jcn","Soups",NA,36,NA,"medium","vegan","amateurchef",60,267.74,1,5,6,1247
"7012","8fx4q0xx-ncs54-664173-5og6n-ly1to2rr","Sauces, dips & spreads",40,60,NA,NA,"vegan","amateurchef",33,498.81,2,1.5,1,1110
"7013","8fyzkj3h-8b51q-404065-7g4ss-bpkrpr5p","Sauces, dips & spreads",NA,33,40,"medium",NA,NA,8,249.62,3,2.66666666666667,5,814
"7014","8g0q9a4m-ladbv-048191-csdc3-ivectcoe",NA,NA,NA,20,"advanced","meat","amateurchef",-5,7.92,1,4,3,2147
"7015","8g1e4ugm-62vis-837516-p4eh1-njovkz78","Baking - savoury",NA,150,127,"advanced",NA,NA,24,320.64,1,4,7,1641
"7016","8g1iimcb-8n432-676433-b9opm-4yo81m2i","Baby food",20,11,71,NA,"vegan","beginner",80,116.6,NA,NA,4,215
"7017","8g25p5vh-k2zt1-333797-jn8uy-tuih6pzt",NA,17,29,119,"advanced","vegetarian","beginner",54,NA,NA,NA,4,222
"7018","8g4rg4rx-v7e1d-794549-aa4rf-05c8cjge","Baking - sweet",8,52,69,"advanced","meat","beginner",52,355.11,5,3,5,1967
"7019","8g4up4tc-uz8lm-479627-tpk9n-sm8epfs3",NA,11,NA,110,"medium","vegetarian",NA,24,315.58,1,3,4,1857
"7020","8g5cmka4-5ncuz-668709-v734h-grdsaf09","Baking - savoury",NA,NA,105,NA,NA,"beginner",54,NA,1,5,4,774
"7021","8g6b0f8y-l4oxh-331203-u4zz8-r3h9118f",NA,41,NA,72,"medium","vegan","advanced",34,18.62,1,3,2,588
"7022","8g7azh3o-i2qpn-364350-84c78-m0wh5vl2","Main dishes - fish",45,70,34,"advanced","vegetarian","advanced",-1,225.6,1,1,5,2042
"7023","8g9c3mnn-6cwn9-878628-drph3-zta951c2","Desserts & sweets",50,92,NA,"medium","vegan","beginner",68,127.25,NA,NA,NA,666
"7024","8g9w76gl-wa615-323864-7lsv4-s5sanu0h","Breads & rolls",39,NA,36,"easy",NA,"amateurchef",5,1022.88,1,1,5,2446
"7025","8gb34135-ki6ko-572918-1p9hh-wfjztl7x","Main dishes - meat",11,81,NA,"easy","vegan","chefcook",69,NA,2,4,3,891
"7026","8gds5xe1-3afw4-135517-lijlc-9yf35bqp","Desserts & sweets",NA,71,36,"easy","vegetarian","beginner",47,471.03,1,1,5,2293
"7027","8gfdi7v0-5zvcn-316811-zr3dt-24c89ysw",NA,34,9,NA,"advanced",NA,"beginner",54,163.84,5,3.6,4,2189
"7028","8gg8j2jg-kf6ka-200431-vgsjx-ras8tibx","Sauces, dips & spreads",43,14,26,"advanced","vegan","advanced",-13,200.47,3,2.33333333333333,4,2538
"7029","8ggwlq4b-69o5s-197988-cwn0v-cs6tphd9","Soups",34,20,11,"medium","vegan","beginner",68,515.39,2,2,4,2080
"7030","8ghajcwo-p0qr8-787255-yf0f5-zps81yvz","Basics",4,43,80,"medium","vegan","advanced",-15,161.28,NA,NA,3,737
"7031","8gi0hc2m-h6jqi-421671-66pnv-qkmfc4zv","Side dishes",46,116,84,"advanced","vegan",NA,56,50.64,3,2,4,1183
"7032","8glu8j7d-3ja98-442600-b4qkp-8cvc91e3",NA,2,136,89,"medium",NA,"advanced",82,NA,2,1.5,4,1630
"7033","8gmji9yb-tjliy-848476-n66bt-6os3rkzi","Desserts & sweets",19,30,19,"easy",NA,"amateurchef",32,602.77,2,2,4,1303
"7034","8gns8ah4-fl05o-916382-mr2r1-zv94wpiz","Starters",26,NA,145,"easy","meat","beginner",47,23.88,3,3.33333333333333,1,217
"7035","8govgn8b-otpma-576784-baaja-iok0yl0e","Side dishes",9,119,50,"easy","meat","advanced",17,9,1,5,5,332
"7036","8gplbsty-u89zl-703669-k3f77-o68vmjc4","Pasta & rice dishes",31,NA,21,"easy","vegan","beginner",84,444.61,3,4.33333333333333,8,125
"7037","8gqpmjrx-rx9xi-770150-ix7bw-7eo6gnay","Main dishes - fish",27,92,57,"medium","meat","advanced",41,429.8,3,3,2,1355
"7038","8gs92wds-lxs49-698811-vcil2-9s50lma7","Desserts & sweets",1,94,93,"medium","fish","chefcook",13,659.97,2,1.5,4,668
"7039","8gtyja5m-untc1-062943-sidki-yoh6f9x7","Side dishes",8,104,42,"advanced","vegan","advanced",36,102.93,1,5,3,632
"7040","8gu76lmn-y6dro-374763-wqotx-ladyb7sn","Side dishes",36,26,NA,"easy","fish","beginner",21,NA,1,4,3,1484
"7041","8gundfir-ps5g8-128223-0h0n6-c195ay26","Main dishes - meat",4,NA,8,"easy","fish","beginner",52,217.24,2,3,NA,961
"7042","8gwuc10h-hfi0x-712307-1115v-0hhm3m0y","Drinks",33,114,5,"advanced","fish",NA,-5,1104.33,NA,NA,1,1472
"7043","8gx8wy0w-76zx2-269855-7erdr-0vvo81rx","Drinks",37,33,NA,"medium",NA,"chefcook",55,518.94,3,4.33333333333333,8,703
"7044","8gxduopq-ciall-492074-l8lug-te0g68nv","Side dishes",41,135,4,"medium","vegan","advanced",47,22.56,1,4,5,1313
"7045","8h087k48-5p69y-539320-8og8y-md1qcs1z","Pasta & rice dishes",30,80,123,"medium","fish","advanced",-15,847.96,4,2.75,4,838
"7046","8h16a6sg-1m71d-986204-n293y-mwzap93f","Soups",20,47,148,"easy","meat",NA,24,677.8,1,1,5,408
"7047","8h2l08x9-pdl35-399174-usj2s-9d1tm1nl","Side dishes",12,NA,1,"medium","fish","chefcook",39,523.55,1,2,3,1577
"7048","8h3ge25a-immk6-020830-zjm9e-6zuz4r5d","Pasta & rice dishes",4,NA,120,"easy",NA,NA,23,671.06,1,5,2,2599
"7049","8h43ao83-y667a-096487-e5elq-m7ejwhna",NA,30,92,46,"medium","vegan",NA,-7,NA,2,2.5,5,257
"7050","8h4m7t5y-lvqgw-887174-ue00b-hkcdj9e3","Baking - sweet",43,38,10,"advanced","meat","advanced",27,479.64,2,5,3,1419
"7051","8h7etfuy-zlq6y-711116-0g84w-y3rt4xqr","Main dishes - meat",39,83,NA,NA,NA,NA,-24,1252.58,NA,NA,2,2340
"7052","8hbw8bkb-bgqug-767737-96dz9-df8lkoq7",NA,1,NA,127,"easy","vegetarian","beginner",18,294.96,2,2.5,8,902
"7053","8hbwgyyb-pnbo4-444622-0tujg-eddlt7ng","Starters",23,144,22,"medium","meat",NA,24,824.79,2,5,5,1291
"7054","8hckfmjf-dvlf1-025878-lxk0b-dgq84r0h","Sauces, dips & spreads",8,16,47,NA,"meat","advanced",46,125.6,NA,NA,4,1253
"7055","8hd0er9a-01rya-856793-qz5wy-z3ubnhov","Soups",NA,107,129,"advanced","fish","chefcook",63,846.15,4,2.75,1,1832
"7056","8hdsfko9-jvrmr-631600-e5wm4-obcacijp","Sauces, dips & spreads",47,123,120,"easy","fish",NA,6,NA,1,2,4,909
"7057","8hf7ow0m-5nxj6-283213-0xtvn-yqbagfi1","Main dishes - vegetarian",8,149,106,"easy","fish","beginner",71,110.29,1,5,5,809
"7058","8hklpj2t-q2uqe-543175-bd738-3xfg34ft","Breads & rolls",14,NA,85,"advanced","vegan","amateurchef",31,NA,1,4,5,1625
"7059","8hkvcdzc-iz5lu-061505-hlnsa-9b5or8up","Main dishes - vegetarian",26,NA,149,NA,"meat",NA,13,346.12,3,3.66666666666667,4,835
"7060","8hmje4tq-gyki0-121055-3hyom-yvtdfbr9","Pasta & rice dishes",10,NA,40,"easy",NA,NA,24,42.84,1,4,4,1825
"7061","8hmp47zi-rhswr-682073-73ozw-anuwqb1s","Baking - sweet",38,104,70,"easy","fish","amateurchef",42,621.2,2,3,6,568
"7062","8hpct8ii-lnay7-481798-ut5xx-vlxv0f77","Baking - sweet",24,147,109,"advanced","vegan",NA,-25,83.92,5,2.8,4,2016
"7063","8hpgb616-jcby3-305511-yd0am-cergazlb",NA,14,112,79,NA,"vegetarian","amateurchef",26,421.48,2,2.5,4,1098
"7064","8hphteqs-1p9a3-107166-9v4ug-r5y1moit","Main dishes - vegetarian",8,49,25,"advanced","vegan",NA,32,365.23,1,1,3,221
"7065","8hqqu7bh-ofh2q-915592-29qd5-61ewazcp","Main dishes - vegetarian",44,30,NA,"medium","vegetarian",NA,-29,377.82,2,3.5,3,223
"7066","8hu2psio-o5ko0-121117-726w4-mo6re6wm","Breads & rolls",42,136,119,"advanced","vegetarian",NA,60,693.89,3,2.66666666666667,2,2498
"7067","8hxy1s5d-tqx4b-198227-itw6i-i37pez7a","Baby food",24,50,47,"advanced","vegan","chefcook",56,NA,1,5,3,509
"7068","8hy9mkmj-gfyea-041572-mhwhq-kib3fd35","Main dishes - meat",24,NA,NA,"medium","meat","amateurchef",11,NA,1,1,5,986
"7069","8hyf6e7g-rr59q-384521-5fqg5-hr2pfxaz","Main dishes - others",30,22,10,"advanced","vegan","beginner",19,173.06,1,3,3,397
"7070","8hyrpzht-8j13o-876535-yqsfy-jr4v45i3","Main dishes - vegetarian",NA,139,49,NA,"meat","beginner",81,NA,NA,NA,9,2302
"7071","8i1hrnb2-kunne-755143-20qqg-9o9zig6w","Main dishes - meat",NA,17,46,"medium","vegetarian","amateurchef",36,716.22,1,1,6,2215
"7072","8i1kowtd-mnroo-148979-e7b1o-dq24h1xy","Basics",27,95,7,"easy","fish","advanced",-15,386.84,3,2.33333333333333,1,1204
"7073","8i4dsba1-1wtsx-644779-cp4hn-wkepaik6","Main dishes - others",6,63,33,"easy","fish","beginner",54,269.77,3,3,4,2376
"7074","8i4qtbua-a19xj-336647-jwye4-yky4vz6o","Basics",NA,71,124,"advanced","vegan",NA,24,112.28,NA,NA,3,292
"7075","8i4wsxhm-oxx7m-023257-qocgz-z31451vw","Soups",13,31,30,"medium","vegan","beginner",68,455.95,4,3.75,9,1468
"7076","8i5bmjgz-veg8q-242980-97kyj-73zudjey","Main dishes - vegetarian",17,54,55,"medium","meat","chefcook",76,NA,1,2,3,634
"7077","8i5tq5vv-cemhp-680476-al9x2-fbhfkgck",NA,47,87,144,"medium","vegetarian","amateurchef",74,420.44,2,3,1,1320
"7078","8i752wl0-dzckz-763735-7684f-jdp4q55s","Main dishes - meat",3,97,109,NA,"vegetarian","amateurchef",1,NA,2,4,7,2342
"7079","8ia67fpl-z26to-367771-t1tev-0ure7ag7","Breads & rolls",50,131,44,"advanced","vegetarian","beginner",51,468.28,3,2.33333333333333,3,776
"7080","8if2wjiy-o2b4f-176996-otgpw-kmizdmzo",NA,39,55,148,"medium",NA,NA,51,559.05,2,1.5,4,2117
"7081","8ih5d860-jxdgf-371410-7pqo3-2o7nknt6","Baking - sweet",29,95,9,"advanced","fish","advanced",34,516.24,NA,NA,10,1879
"7082","8ihytvwz-14xgq-939002-6mol3-mfd09247","Starters",16,14,101,"advanced","meat","amateurchef",39,423.04,2,3,8,2085
"7083","8iib65bl-7dwfi-927780-jsfxh-f0zel1jd","Breads & rolls",NA,26,42,"medium","fish",NA,32,1360.25,1,2,4,1410
"7084","8ilt8xj5-ff52p-320006-fc54d-xzq2acwa","Main dishes - vegetarian",48,118,91,NA,NA,"amateurchef",35,359.61,1,4,6,807
"7085","8im9tdq6-7c5ho-892700-7awys-31h6tk9y","Sauces, dips & spreads",22,NA,58,"easy","meat","beginner",49,390.98,2,2.5,4,1913
"7086","8imy7hyi-xfmig-011160-2tl3s-j3syd8ug",NA,NA,1,126,"medium","vegetarian","beginner",81,173.88,NA,NA,3,1715
"7087","8io0z63n-m4ejt-252336-25gu9-srwckgrj","Side dishes",NA,85,NA,NA,"vegetarian","beginner",81,621.7,3,2.66666666666667,5,225
"7088","8ip8i1nu-58bo6-219852-8o1hu-99261gk9","Sauces, dips & spreads",25,11,73,"medium","vegetarian","amateurchef",23,208.02,1,1,6,1314
"7089","8irxgq5j-lmcpi-723457-jxron-u3u70y7m","Baby food",25,74,48,"medium","vegetarian","beginner",-5,101.83,4,2.25,6,100
"7090","8isrph5p-ian9s-428159-mhtsb-ymkhohxq","Side dishes",45,68,89,"easy","meat","advanced",88,38.39,NA,NA,5,232
"7091","8ivrg456-p2yqf-959768-ymqxz-2lha783y","Baby food",8,115,NA,"easy",NA,"amateurchef",11,394.51,5,3.4,7,2491
"7092","8ixlsazm-omh2l-197959-xni05-t1lflyhl","Baking - sweet",35,6,40,"easy","vegetarian","chefcook",-29,NA,1,4,2,2582
"7093","8j1bjjat-smccg-373921-2a7xo-ji80wcj5","Baking - sweet",42,149,32,"easy","vegan","beginner",2,NA,4,3,3,65
"7094","8j46s010-2yul4-526118-yh9xy-tk2ynwxw","Baking - savoury",3,NA,88,"medium","meat","chefcook",2,381.87,2,1.5,3,93
"7095","8j4c4kpj-3e1i5-224939-6yrfa-5e4f4k39","Main dishes - vegetarian",50,97,4,"advanced","vegetarian","chefcook",-29,237.56,2,1.5,3,206
"7096","8j4ddjk8-w63o9-598902-j7acp-3gw0ufyz","Main dishes - others",13,27,22,"advanced","fish","amateurchef",57,753.61,NA,NA,7,2193
"7097","8j5byw1s-5kmva-153949-opst1-c9mk1rdc","Main dishes - fish",22,116,36,"medium","vegan","chefcook",-29,NA,2,3,4,6
"7098","8j5m8ykj-sa6cc-486747-imywi-fn41scvi","Pasta & rice dishes",24,112,NA,"easy",NA,"chefcook",62,90,NA,NA,4,1277
"7099","8j78iadm-f5yc4-376855-vhuxd-986uussu","Soups",NA,149,NA,"medium","fish","beginner",52,916.97,3,2.66666666666667,3,1052
"7100","8j7cv0hz-rca4t-045618-belyl-moqodi4w","Baking - sweet",20,116,137,"advanced","meat","chefcook",30,767.01,1,4,3,2533
"7101","8jbeumpg-k32qb-559517-mder5-gdqdt5fj","Main dishes - others",4,42,NA,"medium","meat","chefcook",69,310.8,2,2.5,5,1585
"7102","8jhxr5r6-l5lan-155600-poelp-3x2tymfh",NA,NA,52,31,"easy",NA,"advanced",43,226.97,2,3,5,1251
"7103","8jixkxrb-h6cet-150243-h2sny-8b8jz8gr","Main dishes - vegetarian",38,64,24,"easy","vegan","beginner",41,196.52,3,4.66666666666667,4,472
"7104","8jj0ssa0-6m17o-095867-u9ll3-dnv9skuf",NA,21,96,57,"medium","meat","beginner",54,315.84,3,3.66666666666667,6,1362
"7105","8jkwo1ai-3bcxr-174814-2m6sc-8pajguvc","Basics",50,89,74,"medium","meat","amateurchef",62,NA,1,2,2,1670
"7106","8jkz539z-ackfu-726439-4tfyt-068ni05x","Breads & rolls",NA,106,134,"medium","vegetarian","chefcook",63,440.89,3,3.66666666666667,3,220
"7107","8jl7cpn1-8ts46-620019-1wzvo-hgcki5gu","Desserts & sweets",25,46,75,"medium","fish",NA,65,NA,3,3.33333333333333,8,255
"7108","8jo1rvfg-aj0a6-667375-qzshr-sq7w4fpx","Starters",44,63,111,"advanced","vegan","beginner",68,563.36,3,2.66666666666667,8,928
"7109","8jq49zmk-71rvn-759611-pjh98-5wvycl9t","Main dishes - vegetarian",2,12,82,"advanced","meat","amateurchef",6,235.07,2,2.5,4,116
"7110","8jruhafi-2rery-510448-zobkz-mo4qjavi","Drinks",34,40,66,"medium","meat","amateurchef",31,895.08,1,2,5,2062
"7111","8js2205w-azpj4-601508-m4gw2-skmm3im8","Baby food",18,NA,149,"advanced","vegetarian","chefcook",63,480.04,3,3.33333333333333,6,1002
"7112","8jv7n09q-kp5vj-508675-887wp-mz397wae","Baking - sweet",22,95,116,NA,"vegan","advanced",-6,315.41,1,2,2,1881
"7113","8jwbhk46-492vm-131663-ib17w-b4v2ys1s","Main dishes - others",NA,24,141,"easy","vegan",NA,-16,9.36,NA,NA,2,1295
"7114","8jxm2560-es0yz-315564-9rtw9-h0a3orcg",NA,43,119,NA,"medium","vegetarian","beginner",0,377.33,2,1,2,2389
"7115","8jze0325-751vk-668557-zw1dg-vw71gafp","Baking - sweet",25,52,61,"advanced","meat","beginner",-14,NA,4,3.25,7,580
"7116","8k098s3q-7rnwi-385612-eabqq-pqq7kjdq",NA,NA,NA,146,"easy","fish","amateurchef",18,432.65,2,3,4,1259
"7117","8k0kxj80-5nf4k-585532-3yrb8-3lcvtwyp","Drinks",NA,138,125,NA,NA,"advanced",82,359.18,2,4.5,3,46
"7118","8k1g2ape-zibvt-386744-573kz-nrdogf32","Main dishes - fish",42,42,127,"easy","vegetarian",NA,25,837.85,2,4,3,788
"7119","8k1iny47-v0lxf-896254-i2dwt-q3lyoini",NA,43,41,NA,"advanced","meat",NA,17,274.86,4,2.5,4,524
"7120","8k1wnjd5-t6ka8-412070-vdkii-4ia051g6","Main dishes - meat",37,115,99,"easy","vegan","beginner",-13,NA,2,3,3,2455
"7121","8k2kqwro-jwkfa-348736-drw1o-g0c3w8ub","Baby food",31,142,105,"easy","vegetarian","chefcook",69,NA,2,4,2,1602
"7122","8k3ubltu-jhptw-378898-3rphx-t9vwowxx","Basics",32,NA,NA,"easy","vegan","advanced",-8,64.72,1,2,7,1170
"7123","8k4yo1if-6bba2-811426-2m9ha-qzaz1pst",NA,NA,7,139,"advanced",NA,NA,24,329.14,NA,NA,5,1537
"7124","8k6gk9u1-dxdr6-432620-j8e35-km338fdt","Drinks",12,2,98,"easy","vegan","chefcook",-20,478.46,5,1.4,3,695
"7125","8k78su4a-86xsj-753913-5zdr9-pkjlqncf","Breads & rolls",27,3,1,"advanced","vegan","beginner",81,264.74,2,1,1,590
"7126","8kac93sc-7ec58-272637-7raql-swridn4j","Pasta & rice dishes",48,6,19,NA,"vegetarian","amateurchef",13,NA,2,4,4,625
"7127","8kc1atu5-s99l5-455850-2pgq0-ng91vyhb","Baking - sweet",14,116,4,"advanced",NA,"chefcook",14,6.36,2,4.5,2,1691
"7128","8keas5oh-kb2hz-220594-cd3i2-y3i0en3j",NA,28,26,59,"medium","vegan","advanced",28,87.71,2,2,7,2290
"7129","8kej4b3v-cu4tx-030375-vbe2l-xyqtdgmt",NA,5,68,142,NA,"vegan",NA,80,1238.85,2,3,1,841
"7130","8kfsqipi-kovsd-977792-5jj9r-af6wtu09","Main dishes - vegetarian",23,21,30,"advanced","meat","amateurchef",34,274.53,NA,NA,4,20
"7131","8kijm8zf-veryf-241264-gh7kh-6vp84kx9","Side dishes",22,12,106,"advanced","vegetarian","beginner",58,478.07,NA,NA,4,848
"7132","8kof29ey-cri21-659667-1atqj-luowgqqb","Desserts & sweets",48,71,127,"medium","meat","beginner",52,445.35,3,3.66666666666667,2,530
"7133","8krfjny7-kuija-278956-0ni0o-c2p8r3we","Pasta & rice dishes",2,41,58,"medium","vegan","beginner",54,951.52,3,4.66666666666667,5,2376
"7134","8krvja4h-fky6i-982618-zjj6n-oybs1huf","Sauces, dips & spreads",43,89,71,NA,NA,"advanced",74,485.52,3,3,7,1314
"7135","8ksokokx-lclz2-763037-mwklh-i8eavwv2","Drinks",13,102,18,"medium","vegan",NA,46,NA,1,4,3,1520
"7136","8kstfe02-2h3ub-843757-vn1s7-ws3p9qw3","Soups",43,36,20,"advanced",NA,"chefcook",4,NA,1,1,6,348
"7137","8kswlkyb-yri9o-196189-krvt4-24iul31w","Sauces, dips & spreads",15,37,NA,"advanced","vegan",NA,-5,522.36,1,3,6,2495
"7138","8ktu9edr-6ww8o-428392-1ptoh-r87fldiz","Breads & rolls",2,102,133,NA,"vegetarian","beginner",31,NA,NA,NA,9,10
"7139","8kuabxns-swgd7-386868-cj8vn-ihow9aw7","Main dishes - others",8,132,8,"easy","vegan","amateurchef",-15,645.87,1,3,3,1638
"7140","8kv6x2qo-upbsr-555626-8n8wa-h2budote","Baking - sweet",4,124,NA,"medium","vegan","beginner",49,699.62,2,5,5,1855
"7141","8kxjvxub-xc2k2-424857-2erc6-me7uzryn","Breads & rolls",13,66,8,"easy","vegetarian","advanced",71,239.72,4,2,3,1725
"7142","8kxtjrmb-2pf95-223165-fwayu-e0qourlj",NA,3,63,NA,"easy",NA,NA,46,506.17,4,3.5,3,1964
"7143","8kyqlkxb-9mt8r-718866-8mv3g-nfz475bn","Baking - sweet",32,NA,70,NA,"vegetarian","amateurchef",36,157.88,4,2.75,6,1378
"7144","8kz566ks-ok1t7-015185-ri3ng-ceekr2q7","Main dishes - fish",24,10,68,"medium","vegetarian","chefcook",42,15.6,2,2,6,45
"7145","8l21e2qe-2nynf-278577-tc55i-ds14eeca","Desserts & sweets",19,81,87,"easy","vegetarian","advanced",-24,14.4,1,3,5,1291
"7146","8l68llsq-stvt5-871099-0ey6c-wioyxbx3","Sauces, dips & spreads",22,106,27,"advanced","vegan","amateurchef",37,371.56,2,4,8,280
"7147","8l8o9ib7-5om9f-203510-5hxcm-a4zvpr9s",NA,47,26,59,"advanced","vegan","amateurchef",46,357.34,NA,NA,2,967
"7148","8l91unop-lz1ot-522306-va6tx-qsfpdgxt","Breads & rolls",NA,NA,NA,"advanced",NA,"chefcook",19,199.91,3,2,7,2288
"7149","8lahbx15-rbjte-858256-xj51q-nvaiitdz","Starters",34,72,63,"advanced","vegan","beginner",5,740.4,2,2,5,1120
"7150","8lbh8ceu-akpcs-725006-6fs9s-ioeid28m","Baking - savoury",49,140,117,"easy","fish","chefcook",19,663.3,1,5,3,2421
"7151","8lbxsume-c2fsp-641119-b8n3o-ryw37azq","Baking - sweet",43,68,10,"medium","vegan","chefcook",-15,104.48,2,3.5,2,755
"7152","8lcg45li-dewno-752936-sp7v7-r99r75q8","Main dishes - meat",5,84,41,NA,"vegan",NA,77,503.91,1,5,3,2550
"7153","8le5i0bv-za0ux-088509-7f3o3-u1eqo7fk","Main dishes - fish",NA,22,71,"medium","fish","chefcook",38,NA,2,3,5,235
"7154","8lfq20ot-ehf0x-570167-oqf8u-u2ttsvz8",NA,50,44,23,NA,"vegan","chefcook",23,346.12,NA,NA,7,631
"7155","8ljqjyz5-7n3gc-705727-bbpzj-z5n94bpd","Baking - savoury",30,2,56,"advanced","vegan","beginner",47,675.03,2,2,8,762
"7156","8lka1tct-5wf8s-777030-w6wyo-hev2hbyv","Drinks",12,28,141,"medium","vegetarian","amateurchef",70,537.18,1,5,7,1439
